喜欢,to like,xi3huan1
做饭,to cook,zuo4fan4
音乐,music,yin1yue4
饭,food,
米饭,rice,
怎么样,how is,
朋友,friend,peng2you
国,country/kingdom,guo2
中国,China,zhong1guo2
美国,America,mei3guo2
书,book,shu1
读书,to study,du2shu1
在,placement-ing,zai4
工作,Work,gong1zuo4
它,It,ta1
不,not,bu2 bu4
谁,Who,shui2 shei2
去,to go,qu4
哪儿,where,nar3
这,This,zhe4
很,very,hen3
好,good,hao3
是,to be,shi4
现在,now,xian4zai4
没,not,mei2
有,to have,you3
没有,not-have,
狗,dog,
小,small,xiao3,
那儿,there,na4er
猫,cat,mao1
和,and,he2
喝,to drink,he1
电视,TV,dian4shi4
电脑,computer,dian4nao3
电,power - electricity
看,to watch/see,kan4
看书,to read a book,
电影,movie,dian4ying3
看电影,to watch a movie,
看电视,,
会,can (skill),hui4
菜,Food,cai4
多,many - much - a lot,duo1
